iter	Passed	Remaining
463	738	853
464	739	850
465	743	851
466	744	849
467	745	846
468	745	844
469	746	841
470	747	839
471	748	836
472	748	834
473	749	831
474	750	829
475	750	826
476	751	824
477	752	821
478	753	819
479	753	816
480	756	816
481	758	814
482	759	812
483	759	809
484	760	807
485	761	805
486	761	802
487	762	800
488	763	797
489	764	795
490	764	792
491	765	790
492	766	788
493	767	785
494	767	783
495	768	781
496	769	778
497	773	779
498	773	777
499	774	774
500	775	772
501	776	770
502	776	767
503	777	765
504	778	763
505	779	760
506	779	758
507	780	756
508	781	753
509	782	751
510	782	749
511	783	746
512	787	747
513	788	745
514	788	742
515	789	740
516	790	738
517	791	736
518	791	733
519	792	731
520	793	729
521	794	727
522	794	724
523	795	722
524	796	720
525	797	718
526	797	716
527	798	713
528	801	713
529	802	711
530	803	709
531	804	707
532	805	705
533	806	703
534	807	701
535	808	699
536	809	698
537	810	696
538	811	694
539	812	692
540	813	689
541	816	689
542	817	687
543	817	685
544	818	683
545	819	681
546	820	679
547	820	677
548	821	674
549	822	672
550	823	670
551	823	668
552	824	666
553	825	664
554	826	662
555	826	660
556	827	658
557	828	656
558	831	656
559	832	654
560	833	652
561	834	650
562	834	647
563	835	645
564	836	643
565	836	641
566	837	639
567	838	637
568	839	635
569	839	633
570	840	631
571	841	629
572	842	627
573	842	625
574	843	623
575	847	623
576	847	621
577	848	619
578	849	617
579	850	615
580	850	613
581	851	611
582	852	609
583	853	607
584	853	605
585	854	603
586	855	601
587	856	599
588	856	597
589	857	595
590	858	594
591	860	593
592	861	591
593	862	589
594	863	587
595	864	585
596	864	583
597	865	581
598	866	580
599	867	578
600	867	576
601	868	574
602	869	572
603	870	570
604	870	568
605	871	566
606	872	564
607	873	562
608	875	562
609	876	560
610	877	558
611	878	556
612	878	554
613	879	553
614	880	551
615	881	549
616	881	547
617	882	545
618	883	543
619	884	541
620	884	540
621	885	538
622	886	536
623	887	534
624	887	532
625	889	531
626	890	529
627	892	528
628	893	526
629	894	525
630	895	523
631	896	521
632	897	520
633	898	518
634	899	516
635	900	515
636	900	513
637	901	511
638	902	509
639	904	508
640	905	507
641	906	505
642	907	503
643	908	502
644	909	500
645	909	498
646	910	496
647	911	495
648	912	493
649	913	491
650	914	490
651	915	488
652	915	486
653	916	484
654	917	483
655	920	482
656	921	481
657	922	479
658	923	477
659	923	475
660	924	474
661	925	472
662	926	470
663	926	468
664	927	467
665	928	465
666	928	463
667	929	462
668	930	460
669	931	458
670	932	457
671	932	455
672	935	454
673	936	452
674	937	451
675	937	449
676	938	447
677	939	446
678	940	444
679	940	442
680	941	441
681	942	439
682	942	437
683	943	435
684	944	434
685	945	432
686	946	431
687	946	429
688	948	427
689	950	426
690	950	425
691	951	423
692	952	421
693	953	420
694	954	418
695	955	417
696	955	415
697	956	413
698	957	412
699	958	410
700	959	409
701	960	407
702	960	405
703	961	404
704	963	403
705	965	401
706	965	400
707	966	398
708	967	397
709	968	395
710	969	394
711	970	392
712	971	390
713	972	389
714	972	387
715	973	386
716	974	384
717	975	383
718	976	381
719	977	379
720	980	379
721	981	377
722	981	376
723	982	374
724	983	373
725	984	371
726	985	369
727	986	368
728	986	366
729	987	365
730	988	363
731	989	362
732	990	360
733	991	359
734	992	357
735	993	356
736	995	355
737	996	353
738	996	352
739	998	350
740	999	349
741	1000	348
742	1002	346
743	1003	345
744	1004	343
745	1005	342
746	1009	341
747	1010	340
748	1011	338
749	1012	337
750	1013	336
751	1014	334
752	1016	333
753	1017	331
754	1018	330
755	1025	331
756	1027	329
757	1028	328
758	1029	326
759	1030	325
760	1031	324
761	1032	322
762	1033	321
763	1034	319
764	1035	318
765	1036	316
766	1039	315
767	1040	314
768	1041	312
769	1042	311
770	1043	310
771	1044	308
772	1045	307
773	1046	305
774	1047	304
775	1048	302
776	1048	301
777	1049	299
778	1050	298
779	1051	296
780	1054	295
781	1054	294
782	1055	292
783	1056	291
784	1057	289
785	1058	288
786	1059	286
787	1060	285
788	1061	283
789	1062	282
790	1062	280
791	1063	279
792	1064	277
793	1065	276
794	1066	274
795	1068	273
796	1069	272
797	1070	271
798	1071	269
799	1072	268
800	1072	266
801	1073	265
802	1074	263
803	1075	262
804	1075	260
805	1076	259
806	1077	257
807	1078	256
808	1078	254
809	1079	253
810	1080	251
811	1081	250
812	1082	249
813	1084	247
814	1085	246
815	1086	244
816	1086	243
817	1087	242
818	1088	240
819	1089	239
820	1090	237
821	1091	236
822	1091	234
823	1092	233
824	1093	231
825	1094	230
826	1094	229
827	1095	227
828	1096	226
829	1099	225
830	1100	223
831	1101	222
832	1102	220
833	1102	219
834	1103	218
835	1104	216
836	1105	215
837	1105	213
838	1106	212
839	1107	210
840	1108	209
841	1108	208
842	1109	206
843	1110	205
844	1111	203
845	1114	202
846	1115	201
847	1116	200
848	1116	198
849	1117	197
850	1118	195
851	1119	194
852	1120	193
853	1121	191
854	1121	190
855	1122	188
856	1123	187
857	1124	186
858	1124	184
859	1125	183
860	1126	181
861	1129	180
862	1130	179
863	1130	178
864	1131	176
865	1132	175
866	1133	173
867	1133	172
868	1134	171
869	1135	169
870	1136	168
871	1136	166
872	1137	165
873	1138	164
874	1139	162
875	1139	161
876	1140	159
877	1141	158
878	1144	157
879	1144	156
880	1145	154
881	1146	153
882	1147	151
883	1147	150
884	1148	149
885	1149	147
886	1150	146
887	1150	145
888	1151	143
889	1152	142
890	1153	141
891	1153	139
892	1154	138
893	1155	136
894	1156	135
895	1156	134
896	1159	133
897	1159	131
898	1160	130
899	1161	129
900	1162	127
901	1162	126
902	1163	124
903	1164	123
904	1165	122
905	1165	120
906	1166	119
907	1167	118
908	1168	116
909	1169	115
910	1169	114
911	1170	112
912	1171	111
913	1173	110
914	1174	109
915	1175	107
916	1176	106
917	1177	105
918	1178	103
919	1179	102
920	1180	101
921	1180	99
922	1181	98
923	1182	97
924	1182	95
925	1183	94
926	1184	93
927	1185	91
928	1185	90
929	1186	89
930	1188	88
931	1189	86
932	1190	85
933	1191	84
934	1191	82
935	1192	81
936	1193	80
937	1194	78
938	1194	77
939	1195	76
940	1196	75
941	1197	73
942	1197	72
943	1198	71
944	1199	69
945	1200	68
946	1203	67
947	1204	66
948	1205	64
949	1206	63
950	1207	62
951	1208	60
952	1209	59
953	1210	58
954	1211	57
955	1212	55
956	1213	54
957	1213	53
958	1214	51
959	1215	50
960	1216	49
961	1218	48
962	1219	46
963	1220	45
964	1220	44
965	1221	42
966	1222	41
967	1223	40
968	1223	39
969	1224	37
970	1225	36
971	1225	35
972	1226	34
973	1227	32
974	1228	31
975	1228	30
976	1229	28
977	1230	27
978	1232	26
979	1234	25
980	1235	23
981	1236	22
982	1236	21
983	1237	20
984	1238	18
985	1239	17
986	1239	16
987	1240	15
988	1241	13
989	1242	12
990	1242	11
991	1243	10
992	1244	8
993	1245	7
994	1245	6
995	1248	5
996	1249	3
997	1249	2
998	1250	1
999	1251	0
